Time,Axis_1,Axis_2,Axis_3,Axis_4,Axis_5,Axis_6,Axis_7,Axis_8
46540.667,1.04235,17.71218,7.01107,0.05162,0.20648,0.30971,8.08463,0.11772
46542.614,0.28665,11.07011,1.63416,0.38714,1.70342,2.86484,0.20271,0.11772
46544.452,0.49512,2.05588,1.21244,2.01313,0.30971,0.15486,7.50034,0.11772
46546.268,4.61241,10.22667,2.63574,2.60675,0.51619,1.03238,0.01192,0.11772
46548.25,2.73618,0.31629,21.50764,3.25198,5.57483,10.34957,0.0477,0.0981
46550.169,3.75247,12.28255,21.61307,0.30971,1.26466,3.79398,0.22656,1.35378
46555.887,0.23453,4.05904,6.80021,0.72266,0.77428,0.74847,0.65583,0.13734
46557.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46559.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46561.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46563.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46565.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46567.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46569.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46570.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46572.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46574.681,0.41694,4.74433,6.32578,0.38714,1.96151,11.89813,0.05962,0.0981
46576.588,4.06518,7.64365,20.34792,6.94273,3.12294,3.66493,0.3458,0.0981
46578.515,3.77853,8.69794,2.63574,3.27779,5.60064,0.10324,8.10848,0.07848
46580.448,0.36482,11.59726,3.16289,0.59362,4.15531,0.67104,1.1328,0.07848
46582.405,0.41694,9.33052,4.21719,0.67104,4.74893,0.07743,8.10848,0.07848
46584.277,11.30953,44.59673,7.22193,10.81414,4.3876,0.05162,0.03577,0.07848
46586.235,5.21177,1.37059,5.90406,1.9357,0.05162,5.05864,0.09539,0.07848
46588.135,0.85994,23.19452,8.64523,0.80009,0.02581,0.90333,8.09655,0.07848
46590.103,0.41694,11.3864,6.85293,0.98076,0.49038,0.56781,2.37292,0.0981
46592.062,0.443,25.67211,6.11492,1.47114,0.30971,0.30971,8.0727,0.0981
46594.041,4.16941,9.48867,7.95994,2.70999,0.59362,0.15486,7.47649,0.0981
46595.956,0.36482,11.3864,2.95203,1.31628,0.90333,1.9099,1.63362,0.07848
46597.843,0.33876,11.64997,6.48392,2.4777,1.52275,0.8259,1.74094,0.07848
46599.771,1.43324,22.98366,17.81761,5.67807,3.12294,2.11637,0.62006,0.0981
46601.598,0.13029,9.48867,8.69794,1.6518,2.45189,1.08399,3.55342,3.15883
46603.546,2.18894,1.7923,13.07327,1.78085,4.00046,0.30971,0.09539,0.62784
46605.443,0.20847,4.05904,6.85293,0.85171,0.8259,0.85171,0.70353,0.13734
46607.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46609.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46611.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46612.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46614.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46620.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46622.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46623.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46625.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46627.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46629.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46631.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46633.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46635.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46637.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46639.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46640.952,0.52118,1.4233,5.27148,0.12905,0.74847,0.64523,0.58429,0.0981
46642.863,8.57336,30.73274,18.45018,1.67761,6.29749,4.56826,0.48889,0.0981
46644.721,0.62541,11.17554,2.89931,0.36133,5.31674,0.12905,8.10848,0.0981
46646.68,1.04235,24.30153,1.84502,0.64523,4.9554,0.8259,8.10848,0.0981
46648.577,0.46906,11.54454,3.58461,0.38714,4.43922,1.54856,0.51274,0.0981
46650.546,1.43324,17.71218,6.64207,4.20693,0.30971,0.69685,0.16694,0.0981
46652.394,13.733,2.68846,10.54296,0.98076,2.29704,0.12905,0.35773,0.07848
46654.299,0.59935,12.70427,6.80021,0.05162,0.56781,0.77428,0.82277,0.0981
46656.206,0.31271,11.86083,7.38007,3.14875,0.542,0.23228,0.22656,0.0981
46658.145,0.23453,12.07169,6.85293,0.33552,0.49038,0.43876,8.06078,0.0981
46660.001,0.36482,11.0174,6.58935,2.27123,0.90333,0.10324,1.72901,0.0981
46661.92,1.14659,9.17238,22.4038,0.59362,3.04551,2.34866,0.07155,0.07848
46663.787,0.20847,11.43911,7.01107,2.11637,0.33552,1.78085,1.14473,0.0981
46665.717,22.15001,0.57986,9.17238,3.3036,0.33552,2.11637,0.4412,0.07848
46667.639,1.92835,4.42804,5.64048,0.49038,1.3679,0.51619,5.10357,4.12021
46669.58,3.544,4.00633,6.64207,0.02581,1.70342,0.10324,3.12415,0.13734
46671.518,0.28665,4.00633,6.80021,0.77428,0.80009,0.77428,0.71545,0.11772
46673.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46675.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
